Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;84-108;87
PMS;Bartniki;81-109;85
PMS;Bia³ystok;71-104;76
PMS;Bielsko-Bia³a;89-104;94
PMS;Che³m;57-71;61
PMS;Czerniczyn;83-109;91
PMS;Gdynia;102-109;105
PMS;Go³dap;70-80;72
PMS;Kalisz;64-77;67
PMS;Katowice;84-100;88
PMS;Kielce;88-100;91
PMS;Koszalin;85-92;88
PMS;Kraków;116-122;119
PMS;Krasiczyn;79-93;86
PMS;Krzywe;87-107;95
PMS;Legnica;73-90;78
PMS;£ódŸ;88-96;91
PMS;Lublin;101-112;104
PMS;Machnów Nowy;60-86;67
PMS;Olsztyn;57-63;59
PMS;Opole;64-85;70
PMS;Radom;58-67;60
PMS;Rzeszów;89-102;95
PMS;Sanok;90-106;97
PMS;Seimianówka;54-80;57
PMS;Siemiatycze;63-88;67
PMS;Stare Sio³o;63-81;71
PMS;Szczecin;52-72;56
PMS;Tarnów;80-89;83
PMS;Toruñ;49-56;52
PMS;Warszawa;89-96;91
PMS;W³odawa;56-82;62
PMS;Wólka Dobryñska;64-88;69
PMS;Wroc³aw;74-88;78
PMS;Zielona Góra;87-93;89
IMiGW;Gdynia;0-119;82
IMiGW;Gorzów;83-97;86
IMiGW;Legnica;87-99;90
IMiGW;Lesko;98-114;103
IMiGW;Miko³ajki;88-97;90
IMiGW;Œwinoujœcie;68-78;70
IMiGW;Warszawa;68-78;69
IMiGW;W³odawa;65-85;70
IMiGW;Zakopane;99-114;107
